_ID	logtime	flx	frx	rlx	rrx	pdbx	rdbx	fldx	frdx	rldx	rrdx	pfp	prp	pfdbp	prdbp	rlp	rrp	rldbp	rrdbp	steering_angle	craft_speed	pitchfrontin	pitchfrontout	pitchrearin	pitchrearout	pitchDBfrontin	pitchDBfrontout	pitchDBrearin	pitchDBrearout	pitchDBfrontacclock	pitchDBrearacclock	pitchDBfrontactivelock	pitchDBrearactivelock	rollleftin	rollleftout	rollrightin	rollrightout	rollDBleftin	rollDBleftout	rollDBrightin	rollDBrightout	rollDBleftacclock	rollDBrightacclock	rollDBleftactivelock	rollDBrightactivelock	damperFLcompression	damperFLrebound	damperFRcompression	damperFRrebound	damperRLcompression	damperRLrebound	damperRRcompression	damperRRrebound	pitchactive	rollactive	manual_active	setup_active	damping_active	active_active	dump_active	INS_Pitch	INS_Roll	INS_Yaw	INS_GyroX	INS_GyroY	INS_GyroZ	INS_Latitude	INS_Longitude	INS_Altitude	INS_VelX	INS_VelY	INS_VelZ	INS_AccX	INS_AccY	INS_AccZ	pitchProValvePressure	rollProValvePressure
0	148.0281829	214.7318	243.9583	291.8841	321.8207	1.04	-6.93	-76.97525	-136.5524	-40.53497	-51.23978	79.878	54.5402	85.1906	14.80782	65.8734	67.7806	54.91391	60.2117	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1511.877	290	1503.962	290.0001	1212.783	291.3217	543.2682	290.0003	1200	1404.258	False	False	True	True	False	-0.047	-0.0074	2.6944	0.033	-0.033	-0.026	-33.60624	115.1177	37474	13380	-80	650	-1.101937	0	0	96.848	96.463
0	148.0594321	212.8844	238.1749	289.8205	320.0639	1.025	-6.845	-46.18492	-144.585	-51.58997	-43.92014	80.343	54.7238	85.6994	14.53495	65.9036	68.2734	54.13773	60.7205	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1528.372	290	1580.874	290	1288.291	290.2632	569.0869	290.0001	1200	1402.453	False	False	True	True	False	-0.0484	-0.0062	2.6937	0.026	-0.042	-0.008	-33.60625	115.1177	37429	13330	-80	600	-1.141692	0	0	96.8172	96.463
0	148.0906813	211.6528	233.998	287.4621	317.7215	1.015	-6.775	-30.78995	-104.4224	-58.95996	-58.56018	80.839	54.8615	86.2241	14.06438	65.9036	68.6738	53.45481	61.1498	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1585.735	290	1596.191	290	1407.461	290.0524	599.9826	290	1200	1400.637	False	False	True	True	False	-0.0501	-0.0051	2.6928	0.028	-0.047	-0.019	-33.60625	115.1177	37426	13270	-80	570	-1.130479	0	0	96.8172	96.463
0	148.1375551	210.4212	229.8211	284.7352	315.5255	1.005	-6.7	-30.78995	-104.4224	-68.17245	-54.8996	81.273	55.0604	86.558	13.7452	65.9338	68.9818	53.16014	61.6268	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1585.735	290	1596.191	290	1407.461	290.0524	599.9826	290	1200	1400.637	False	False	True	True	False	-0.0519	-0.0041	2.6921	0.017	-0.045	-0.022	-33.60625	115.1177	37422	13220	-90	550	-1.102956	0	0	96.848	96.463
0	148.2313027	207.958	224.359	282.4505	313.1099	0.99	-6.64	-61.58028	-136.5528	-57.11746	-60.39047	81.6915	55.2593	86.8919	13.46912	66.0697	69.259	53.06973	61.9289	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1599.887	290	1599.97	290	1444.281	290.0004	643.3331	290	1200	1397.516	False	False	True	True	False	-0.0539	-0.0033	2.6915	0.017	-0.059	-0.018	-33.60626	115.1177	37379	13170	-90	520	-1.122324	0	0	96.8172	96.4476
0	148.2313027	204.879	219.2182	280.0184	310.8407	0.98	-6.575	-76.97487	-128.5198	-60.80246	-56.72989	82.203	55.397	87.353	12.89187	66.2358	69.6286	52.75886	62.1833	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1599.887	290	1599.97	290	1444.281	290.0004	643.3331	290	1200	1397.516	False	False	True	True	False	-0.0559	-0.0028	2.691	0.002	-0.053	-0.013	-33.60627	115.1178	37371	13110	-90	490	-1.130479	0	0	96.8172	96.386
0	148.2469273	201.4921	216.0052	277.9548	309.3035	0.96	-6.525	-84.67255	-80.32494	-51.58997	-38.43002	82.792	55.5806	87.8618	12.27458	66.4623	69.9058	52.61803	62.1833	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1599.887	290	1599.97	290	1444.281	290.0004	643.3331	290	1200	1397.516	False	False	True	True	False	-0.0578	-0.0025	2.6906	0	-0.055	-0.008	-33.60627	115.1178	37360	13050	-100	470	-1.133537	0	0	96.8172	96.3706
0	148.2938011	199.9526	215.0413	275.9649	307.4003	0.95	-6.485	-38.48724	-24.09744	-49.74747	-47.57996	83.2415	55.7642	88.2434	11.91755	66.6586	69.9982	52.73174	62.0084	-1.776169	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1599.978	290	1599.994	290	1256.37	290.0001	722.6414	290	1200	1393.705	False	False	True	True	False	-0.0603	-0.0022	2.6901	-0.002	-0.066	-0.011	-33.60628	115.1178	37323	13080	-90	460	-1.121305	0	0	96.8172	96.3706
0	148.3406749	199.6447	215.3626	273.9013	305.4239	0.945	-6.44	-7.697678	8.032227	-51.58997	-49.41025	83.412	55.9631	88.4024	12.15544	66.7492	69.9058	53.03336	61.8017	-1.787628	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1599.995	290	1599.999	290	1095.004	290	1028.935	290	1200	1392.827	False	False	True	True	False	-0.0625	-0.0022	2.6894	-0.009	-0.055	-0.013	-33.60628	115.1178	37309	13030	-100	460	-1.033639	0	0	96.848	96.3706
0	148.3875487	200.5684	216.0052	272.2062	303.5207	0.945	-6.4	23.09265	16.06522	-42.37747	-47.57996	83.288	56.1161	88.3388	12.86129	66.87	69.7826	53.53625	61.6268	-1.787628	24.80346	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	1599.999	290	550.8915	1143.033	1074.592	290	1120.66	290	1200	1390.491	False	False	True	True	False	-0.0642	-0.0023	2.6888	-0.006	-0.043	-0.016	-33.60629	115.1178	37232	12980	-100	460	-0.9908257	0	0	96.8172	96.3706
